"movie_id","movie_releaseYear","movie_title","movie_voteAverage","movie_voteNb","movie_budget"
793,1986,"Blue Velvet",7.7,1453,6000000
45317,2010,"The Fighter",7.3,2325,25000000
82693,2012,"Silver Linings Playbook",7.1,7628,21000000
767,2009,"Harry Potter and the Half-Blood Prince",7.6,10533,250000000
12444,2010,"Harry Potter and the Deathly Hallows: Part 1",7.7,10772,250000000
12445,2011,"Harry Potter and the Deathly Hallows: Part 2",8.1,11548,125000000
22302,2009,"Polytechnique",7.1,240,0
46738,2010,"Incendies",8.1,1032,10000000
146233,2013,"Prisoners",8,5776,46000000
181886,2013,"Enemy",6.9,2745,0
273481,2015,"Sicario",7.3,4471,30000000
26466,2009,"Triangle",6.8,1093,12000000
137113,2014,"Edge of Tomorrow",7.6,8035,178000000
17431,2009,"Moon",7.6,3073,5000000
45612,2011,"Source Code",7.2,4522,32000000
11216,1988,"Cinema Paradiso",8.4,1739,0
9665,1989,"Glory",7.5,637,18000000
4476,1994,"Legends of the Fall",7.4,1109,30000000
616,2003,"The Last Samurai",7.5,3410,140000000
245698,2015,"Pawn Sacrifice",6.7,444,19000000
220,1955,"East of Eden",7.7,312,1
59468,2010,"The Way",7.2,273,0
11044,1993,"Arizona Dream",7.2,322,19000000
329819,2015,"Standing Tall",7.4,287,5000000
1954,2004,"The Butterfly Effect",7.5,3809,13000000
304410,2014,"The Bélier Family",7,1477,11000000
11673,1990,"Cyrano de Bergerac",7.2,289,0
277216,2015,"Straight Outta Compton",7.7,2046,28000000
137182,2012,"The Broken Circle Breakdown",7.8,590,0
598,2002,"City of God",8.4,3320,3300000
240,1974,"The Godfather: Part II",8.5,5863,13000000
242,1990,"The Godfather: Part III",7.3,2884,54000000
6114,1992,"Dracula",7.3,2263,40000000
6479,2007,"I Am Legend",7.1,8903,150000000
5924,1973,"Papillon",8,835,12000000
204082,2013,"Homefront",6.5,1408,22000000
70160,2012,"The Hunger Games",7.1,14572,75000000
979,2002,"Irreversible",7.1,1031,0
34647,2010,"Enter the Void",7.3,771,13000000
10316,2011,"The Ides of March",6.7,1403,12500000
8810,1981,"Mad Max 2",7.3,1697,2000000
76341,2015,"Mad Max: Fury Road",7.4,14431,150000000
314402,2015,"Dheepan",6.9,230,0
11978,2000,"Men of Honor",7.2,957,82343495
256591,2015,"Focus",6.8,4164,50100000
157825,2014,"White Bird in a Blizzard",6.2,484,0
6145,2007,"Fracture",7.3,1739,0
10795,2006,"Tell No One",7.4,633,11700000
489,1997,"Good Will Hunting",8.1,5752,10000000
100,1998,"Lock, Stock and Two Smoking Barrels",8,3050,1350000
10528,2009,"Sherlock Holmes",7.1,9012,90000000
203801,2015,"The Man from U.N.C.L.E.",7.1,3517,75000000
137,1993,"Groundhog Day",7.5,4014,14600000
11621,1992,"Porco Rosso",7.8,1143,0
128,1997,"Princess Mononoke",8.3,3728,26500000
129,2001,"Spirited Away",8.5,7411,19000000
68558,2001,"Be.Angeled",6,1,3800000
149871,2013,"The Tale of the Princess Kaguya",8.1,660,49300000
200505,2014,"Draft Day",6.6,460,25000000
241239,2014,"A Most Violent Year",6.6,791,20000000
54138,2013,"Star Trek Into Darkness",7.4,6179,190000000
140607,2015,"Star Wars: The Force Awakens",7.4,12632,245000000
168259,2015,"Furious 7",7.3,6532,190000000
10227,1967,"PlayTime",7.8,194,0
679,1986,"Aliens",7.9,5091,18500000
19995,2009,"Avatar",7.4,18657,237000000
152599,2013,"The Immigrant",6.2,438,16000000
118340,2014,"Guardians of the Galaxy",7.9,17929,170000000
1245,1993,"The Remains of the Day",7.6,482,11500000
284689,2014,"Testament of Youth",7.4,484,0
266856,2014,"The Theory of Everything",7.9,6402,15000000
713,1993,"The Piano",7.4,567,7000000
214910,2013,"Hwayi: A Monster Boy",7.5,62,0
130150,2013,"Labor Day",6.9,545,18000000
225574,2014,"Non-Stop",6.8,3325,50000000
9736,2008,"Love Me No More",7,84,0
192,1986,"The Name of the Rose",7.4,1462,20000000
978,1997,"Seven Years in Tibet",7.1,1206,70000000
152532,2013,"Dallas Buyers Club",7.9,4957,5000000
228970,2014,"Wild",7,1451,15000000
8078,1997,"Alien Resurrection",6,2359,70000000
194,2001,"Amélie",7.9,6275,10000000
157841,2013,"The Young and Prodigious T.S. Spivet",6.7,387,33000000
64720,2011,"Take Shelter",7.2,784,5000000
103731,2013,"Mud",7,1587,10000000
4104,1993,"Benny & Joon",7.1,395,0
251,1990,"Ghost",7.1,2792,22000000
1554,1986,"Down by Law",7.5,286,0
4816,1999,"Ghost Dog: The Way of the Samurai",7.3,540,2000000
152603,2013,"Only Lovers Left Alive",7.4,1052,7000000
7445,2009,"Brothers",6.9,1185,26000000
31900,2010,"Gainsbourg: A Heroic Life",7,150,0
331,2001,"Jurassic Park III",6,3781,93000000
307081,2015,"Southpaw",7.4,3417,30000000
290,1991,"Barton Fink",7.5,794,9000000
115,1998,"The Big Lebowski",7.9,5650,15000000
6977,2007,"No Country for Old Men",7.9,5921,25000000
1551,1990,"Flatliners",6.4,739,26000000
1817,2002,"Phone Booth",6.8,1883,13000000
198277,2013,"Begin Again",7.2,2087,8000000
1091,1982,"The Thing",8,3054,15000000
1366,1976,"Rocky",7.7,3709,1000000
20766,2009,"The Road",6.9,1858,32000000
2108,1985,"The Breakfast Club",7.8,4312,1000000
140823,2013,"Saving Mr. Banks",7.4,2045,35000000
106,1987,"Predator",7.4,3711,18000000
1669,1990,"The Hunt for Red October",7.4,1545,30000000
1572,1995,"Die Hard: With a Vengeance",7.1,3260,90000000
9387,1982,"Conan the Barbarian",6.7,1145,20000000
3116,1969,"Midnight Cowboy",7.6,536,3600000
85889,2013,"Filth",6.9,950,5000000
773,2006,"Little Miss Sunshine",7.6,3465,8000000
274,1991,"The Silence of the Lambs",8.3,8434,19000000
9800,1993,"Philadelphia",7.7,2020,26000000
75612,2013,"Oblivion",6.5,6841,120000000
222935,2014,"The Fault in Our Stars",7.6,7226,12000000
115782,2013,"Jobs",6.1,1618,12000000
99861,2015,"Avengers: Age of Ultron",7.3,13435,280000000
80278,2012,"The Impossible",7.2,3607,42000000
198663,2014,"The Maze Runner",7.1,10616,34000000
97630,2012,"Zero Dark Thirty",6.9,2547,40000000
581,1990,"Dances with Wolves",7.8,1975,22000000
2013,2007,"The Diving Bell and the Butterfly",7.6,537,14000000
6478,2004,"Beyond the Sea",6.4,83,23000000
43920,2010,"Dog Pound",7.6,177,0
11344,2005,"A Bittersweet Life",7.5,308,0
15067,2008,"The Good, The Bad, The Weird",7.2,315,10000000
49797,2010,"I Saw the Devil",7.7,948,0
269494,2014,"A Hard Day",7,149,0
2457,1945,"Children of Paradise",8.2,138,0
62215,2011,"Melancholia",7.1,1637,7400000
1571,2007,"Live Free or Die Hard",6.5,3278,110000000
14794,1968,"if....",7.3,145,0
101,1994,"Léon: The Professional",8.3,7650,16000000
866,2004,"Finding Neverland",7.3,2266,25000000
8438,1995,"Murder in the First",7.1,235,0
19913,2009,"(500) Days of Summer",7.2,5594,7500000
303483,2014,"Once in a Lifetime",7.6,187,0
14574,2008,"The Boy in the Striped Pyjamas",7.8,3532,12500000
36557,2006,"Casino Royale",7.4,5990,150000000
1578,1980,"Raging Bull",7.9,1838,18000000
11873,1986,"The Color of Money",6.8,556,13800000
524,1995,"Casino",7.9,2442,52000000
3131,2002,"Gangs of New York",7.2,3472,100000000
11324,2010,"Shutter Island",8.1,12610,80000000
406,1995,"La Haine",8,1479,2600000
119450,2014,"Dawn of the Planet of the Apes",7.3,7073,170000000
13573,2003,"The United States of Leland",6.7,145,0
234200,2014,"Pride",7.9,742,0
1579,2006,"Apocalypto",7.4,2287,40000000
206487,2014,"Predestination",7.4,3325,5500000
9802,1996,"The Rock",7,2325,75000000
10234,1997,"Funny Games",7.3,775,0
11454,1986,"Manhunter",7,526,15000000
9361,1992,"The Last of the Mohicans",7.3,1373,40000000
154400,2014,"The Drop",6.7,1214,12600000
245692,2014,"The Search",6.9,36,25000000
244267,2014,"I Origins",7.6,1812,0
2288,2004,"Closer",6.8,1653,27000000
196024,2013,"The Keeper of Lost Causes",7.2,315,5649897
254201,2014,"The Absent One",7.1,264,5848257
279,1984,"Amadeus",8,2043,18000000
303903,2014,"Pokémon the Movie: Diancie and the Cocoon of Destruction",5.9,61,24720400
205596,2014,"The Imitation Game",8.1,10376,14000000
57361,2010,"The Yellow Sea",7.4,180,0
51876,2011,"Limitless",7.1,6283,27000000
68724,2013,"Elysium",6.4,5395,115000000
198184,2015,"Chappie",6.7,4990,49000000
11036,2004,"The Notebook",7.9,6120,29000000
2061,1996,"Pusher",6.9,279,0
11328,2004,"Pusher II: With Blood on My Hands",7.2,149,0
64690,2011,"Drive",7.5,6729,15000000
63,1995,"Twelve Monkeys",7.5,4333,29500000
792,1986,"Platoon",7.7,2129,6000000
241,1994,"Natural Born Killers",7.1,1635,34000000
310593,2015,"Youth",6.9,1096,13360000
670,2003,"Oldboy",8.2,3715,3000000
574,1956,"The Man Who Knew Too Much",7.5,553,2500000
109424,2013,"Captain Phillips",7.6,3907,55000000
22504,1980,"The King and the Mockingbird",7.9,139,0
861,1990,"Total Recall",7.2,2869,10000000
402,1992,"Basic Instinct",6.7,1564,49000000
11005,1990,"Awakenings",7.8,1111,0
250734,2015,"Far from the Madding Crowd",7,585,0
193756,2013,"Lone Survivor",7.4,2288,40000000
49051,2012,"The Hobbit: An Unexpected Journey",7.2,12065,250000000
57158,2013,"The Hobbit: The Desolation of Smaug",7.6,7730,250000000
122917,2014,"The Hobbit: The Battle of the Five Armies",7.3,8380,250000000
102899,2015,"Ant-Man",7.1,11930,130000000
5336,1975,"Salò, or the 120 Days of Sodom",6.4,675,0
8681,2008,"Taken",7.3,6779,25000000
45649,2010,"Rubber",5.9,415,500000
179150,2014,"Reality",7.3,211,0
500,1992,"Reservoir Dogs",8.2,7156,10000000
680,1994,"Pulp Fiction",8.4,15231,8000000
393,2004,"Kill Bill: Vol. 2",7.8,7456,30000000
1991,2007,"Death Proof",6.8,2411,25000000
16869,2009,"Inglourious Basterds",8.1,11969,70000000
68718,2012,"Django Unchained",8,15701,100000000
508,2003,"Love Actually",7.1,3587,40000000
4348,2005,"Pride & Prejudice",7.9,3263,28000000
1573,1990,"Die Hard 2",6.8,2978,70000000
59967,2012,"Looper",6.8,6718,30000000
22803,2009,"Law Abiding Citizen",7.3,2579,53000000
941,1987,"Lethal Weapon",7.1,2303,15000000
942,1989,"Lethal Weapon 2",6.9,1738,25000000
943,1992,"Lethal Weapon 3",6.6,1384,35000000
944,1998,"Lethal Weapon 4",6.5,1301,140000000
12101,1973,"Soylent Green",6.9,508,0
85350,2014,"Boyhood",7.5,3092,4000000
348,1979,"Alien",8.1,7559,11000000
98,2000,"Gladiator",8.1,9703,103000000
855,2001,"Black Hawk Down",7.3,2937,92000000
9740,2001,"Hannibal",6.6,2303,87000000
20662,2010,"Robin Hood",6.3,2566,200000000
286217,2015,"The Martian",7.7,12159,108000000
1904,2005,"Memoirs of a Geisha",7.6,1298,85000000
